PRSN_ADDR_ADHM_CNTRY_CD,Latitude (generated),Longitude (generated),Number of Records
ZMB,-15.13,25.268,1
VNM,21.75,105.373,11
USA,40.0792,-98.8164,4623
URY,-32.948,-56.249,1
UGA,1.9392,32.7415,5
TWN,23.6091,120.8353,34
TUR,39.144,34.188,12
TUN,35.594,9.421,1
TKM,39.584,59.597,1
THA,15.688,100.845,14
SVK,48.8595,19.4434,1
SLE,8.677,-11.779,1
SGP,1.3389,103.8297,4
SDN,15.739,29.533,1
SAU,24.191,44.32,13
RUS,64.736,104.062,7
PRT,40.957,-7.9373,1
PRI,18.242,-66.643,3
PHL,17.181,121.256,5
PER,-12.664,-72.98,4
PAN,8.348,-81.005,1
PAK,28.1854,66.6429,11
NPL,28.2114,83.5608,7
NOR,61.3701,9.3031,1
NLD,52.1704,5.0102,2
NGA,9.3417,7.678,32
NAM,-21.276,17.219,1
MYS,4.416,102.099,3
MWI,-13.2731,33.7428,3
MNG,46.516,102.564,3
MNE,42.857,19.096,1
MMR,21.841,96.05,1
MEX,22.925,-101.68,6
MAR,31.129,-7.355,1
LKA,7.3,80.727,7
LBR,6.51,-9.33,1
LBN,34.161,36.021,1
KWT,29.3169,47.4272,3
KOR,36.338,128.16,105
KGZ,41.741,75.043,4
KEN,0.806,38.166,6
KAZ,48.866,69.772,1
JPN,35.962,137.855,6
JOR,30.681,36.279,3
ITA,44.3713,11.1084,4
ISR,30.992,34.834,2
IRN,33.408,54.0418,20
IND,22.741,78.236,830
IDN,-0.739,114.045,6
HUN,47.174,19.618,1
HRV,45.754,16.385,1
HND,14.881,-87.123,1
HKG,22.4114,114.0599,6
GHA,7.258,-1.062,18
GEO,42.05,43.576,2
GBR,52.289,-1.259,6
FRA,46.656,2.543,6
ESP,40.617,-3.388,1
EGY,26.16,28.742,2
ECU,-1.151,-78.308,1
DEU,51.3819,9.9877,2
CUW,12.2129,-69.0407,1
CRI,10.126,-84.075,1
COL,3.794,-73.606,3
CIV,7.497,-5.336,1
CHN,35.1753,99.3877,116
CHL,-23.176,-69.201,1
CAN,59.2067,-111.1937,19
BRA,-11.694,-48.978,10
BOL,-16.71,-65.183,2
BMU,32.3019,-64.7737,1
BHS,24.7032,-78.0455,1
BGD,24.598,90.1963,19
BEL,50.6745,4.4588,1
AZE,40.46,47.883,1
AUS,-24.578,133.582,2
ARE,23.9299,53.9031,2
AFG,34.023,65.5267,3
,,,26
