PRSN_ADMT_HM_ST_CD,Latitude (generated),Longitude (generated),Number of Records
WY,43,-107.5,1
WV,38.63,-80.73,2
WI,44.5,-90,44
WA,47.5,-120.5,28
VT,44.1584,-72.7678,4
VA,37.77,-78.24,47
UT,39.25,-111.75,25
TX,31.25,-99.25,94
TN,35.75,-86.25,99
SD,44.5,-100.25,4
SC,34,-81,15
RI,41.4966,-71.4757,6
PR,18.24,-66.64,4
PA,40.86,-77.9,50
OR,44,-120.5,6
OK,35.5,-97.5,10
OH,40.25,-83,132
NY,43,-75.49,66
NV,39.25,-116.75,5
NM,34.5,-106,4
NJ,40.16,-74.49,37
NH,43.66,-71.49,10
NE,41.5,-99.75,7
ND,47.5,-100,2
NC,35.5,-80,49
MT,47,-109.75,8
MS,33.503,-89.8071,5
MO,38.25,-92.5,44
MN,46.25,-94.25,35
MI,43.1045,-84.6165,108
MD,39.4444,-77.0834,28
MA,42.3616,-72.1839,35
LA,30.6935,-92.241,6
KY,37.79,-84.87,82
KS,38.5,-98.5,26
IN,40,-86.25,2957
IL,40,-89.25,187
ID,44.0739,-114.542,8
IA,42,-93.5,15
HI,20.79,-156.34,5
GA,32.1598,-83.4715,45
FL,28.42,-81.55,107
DE,38.6716,-75.4165,2
DC,38.91,-77,14
CT,41.6227,-72.7028,14
CO,39,-105.5,36
CA,37.25,-119.75,106
AZ,34.5,-111.5,25
AR,34.75,-92.5,7
AL,32.75,-86.75,14
AK,64,-150,1
,,,28
